CUST_ID,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY
C10566,0.083333,0.833333
C10567,0.333333,0
C10568,0.818182,0
C10569,1,0
C10570,0.833333,0
C10571,1,0
C10572,0.8,0
C10573,0.5,0.166667
C10574,1,0.083333
C10575,0.916667,0.166667
C10576,0.333333,0.666667
C10577,0.666667,0.25
C10578,0.090909,0.636364
C10579,1,0
C10580,0,0.083333
C10581,0.666667,0.833333
C10582,0,0.666667
C10583,0.25,0.166667
C10584,0.916667,0
C10585,0,0.166667
C10586,0.25,0
C10587,1,0
C10588,0,0.25
C10589,1,0
C10590,0.666667,0
C10591,1,0
C10592,0.5,0
C10593,0.3,0.3
C10594,0.333333,0
C10595,0,0.083333
C10596,0,0.083333
C10597,0.083333,0
C10598,1,0
C10599,0.416667,0
C10600,0,0.25
C10601,0.5,0.25
C10602,0.416667,0
C10603,0.083333,0
C10604,0,0.333333
C10605,1,0
C10606,0,0.083333
C10607,0,0.166667
C10608,1,0
C10609,1,0.083333
C10610,0.083333,0
C10611,1,0
C10612,0.333333,0
C10613,1,0.416667
C10615,1,0
C10616,1,0
C10617,0.416667,0
C10618,0,0.363636
C10619,0.25,0.083333
C10620,0.5,0
C10621,0.083333,0.25
C10622,0.916667,0
C10623,1,0.166667
C10624,0.083333,0
C10625,0.636364,0.363636
C10626,0,0.363636
C10627,0,0.416667
C10628,0.583333,0
C10629,0.666667,0
C10630,0.416667,0
C10631,0.833333,0.416667
C10632,0.666667,0
C10633,0.916667,0.5
C10634,1,0
C10635,1,0.916667
C10636,0.083333,0.083333
C10637,1,0
C10638,1,0.25
C10639,0.083333,0.083333
C10640,0,0.916667
C10641,1,0
C10642,1,0.083333
C10643,0.2,0
C10644,1,0
C10645,1,0
C10646,0,0.083333
C10647,0.833333,0.5
C10648,1,0
C10649,1,0
C10650,0.666667,0
C10651,0.9,0
C10652,0.666667,0.083333
C10653,1,0.166667
C10654,1,0
C10655,1,0
C10656,0,0.083333
C10657,0.083333,0
C10658,0.818182,0.181818
C10659,0.583333,0.416667
C10660,0.416667,0
C10661,0,0.166667
C10662,0,0.083333
C10663,0,0.083333
C10665,1,0
C10666,0.916667,0
C10667,0,0.666667
C10668,0.916667,0
C10669,1,0
C10670,1,0.25
C10671,1,0
C10672,0.25,0.583333
C10673,1,0
C10674,0.5,0.416667
C10675,0,0.166667
C10676,1,0.444444
C10677,1,0.333333
C10678,1,0
C10679,0.272727,0
C10680,0,0.083333
C10681,1,0.083333
C10682,0.75,0
C10683,0.166667,0
C10684,1,0.5
C10685,0.166667,0
C10686,0.166667,0
C10688,1,0
C10689,0.916667,0.166667
C10690,0.083333,0.166667
C10691,0.916667,0
C10692,0.583333,0
C10693,1,0
C10694,0.125,0
C10695,1,0
C10696,0.25,0.166667
C10697,0.333333,0.083333
C10698,0,0.3
C10699,0.916667,0
C10700,0.666667,0.083333
C10701,0,0.5
C10702,1,0
C10703,0,0.166667
C10704,1,0.083333
C10705,0.5,0
C10706,0.083333,0.583333
C10707,0.2,0
C10708,0.25,1.25
C10709,1,0.083333
C10710,1,0
C10711,1,0.083333
C10712,0,0.333333
C10713,0.583333,0
C10714,0.142857,0
C10715,0.583333,0
C10716,0.75,0.083333
C10717,1,0
C10718,0.5,0
C10719,1,0.142857
C10720,1,0
C10721,0.5,0.083333
C10722,1,0
C10723,0.166667,0.666667
C10724,1,0
C10725,1,0
C10726,0.916667,0
C10727,0,0.166667
C10728,0,0.166667
C10729,0,0.333333
C10730,0.416667,0
C10731,1,0
C10732,0.416667,0
C10733,0.083333,0.083333
C10734,0,0.5
C10735,1,0.166667
C10736,1,0.25
C10737,0,0.166667
C10738,0.25,0.083333
C10739,1,0
C10740,0.75,0
C10741,0.285714,0
C10742,1,0.333333
C10743,0,0.333333
C10744,0.166667,0
C10745,0.333333,0.083333
C10746,0.083333,0
C10747,0.5,0.166667
C10748,0,0.25
C10749,0.083333,0.083333
C10750,0.25,0.5
C10751,0,0.166667
C10752,0.75,0
C10753,0.666667,0.166667
C10754,0,0.416667
C10755,1,0
C10756,1,0
C10757,0.166667,0
C10758,0,0.1
C10759,0,0.416667
C10760,1,0
C10761,1,0.25
C10762,0,1
C10763,0.166667,0
C10764,0.083333,0
C10765,0.25,0
C10766,0,0.416667
C10767,0,0.166667
C10768,1,0
C10769,0,0.583333
C10770,0.666667,0.666667
C10771,0,0.125
C10772,1,0
C10773,0.5,0
C10774,0.5,0
C10775,1,0.166667
C10776,1,0
C10777,0.333333,0.222222
C10779,0.5,0
C10780,0.583333,0.25
C10781,0,0.428571
C10782,0.25,0.166667
C10783,0,0.25
C10784,1,0.416667
C10785,0,0.333333
C10786,0.916667,0.083333
C10787,0.875,0
C10788,0,0.25
C10789,1,0
C10790,0.416667,0.75
C10791,0,0.5
C10792,0.083333,0
C10793,0,0.333333
C10794,0.083333,0
C10795,0,0.166667
C10796,0.416667,0.25
C10797,1,0.333333
C10798,0.083333,0
C10799,1,0
C10800,0.083333,0.083333
C10801,0.833333,0
C10803,0.083333,0
C10804,0.25,0
C10805,1,0.166667
C10806,1,0.166667
C10807,0,0.166667
C10808,1,0.166667
C10809,0,0.416667
C10810,0,0.166667
C10811,1,0.166667
C10812,0.916667,0.25
C10813,0.583333,0
C10814,0.818182,0
C10815,0,0.416667
C10816,0.125,0.125
C10817,0,0.75
C10818,0,0.416667
C10819,0.583333,0
C10820,1,0
C10821,0.166667,0.5
C10822,0.25,0.333333
C10823,0.083333,0
C10824,1,0
C10825,0,0.166667
C10826,1,0
C10827,1,0
C10828,0.5,0
C10829,0,0.25
C10830,1,0.083333
C10831,0,0.083333
C10832,0,0.25
C10833,0.833333,0
C10834,0,0.166667
C10835,0.5,0
C10836,1,0
C10837,0.416667,0
C10838,1,0.166667
C10839,1,0.272727
C10840,1,0
C10841,0.166667,0.416667
C10843,0.166667,0.25
C10844,0.166667,0
C10845,0.083333,0.083333
C10846,1,0
C10847,0,0.333333
C10848,1,0
C10849,0,0.25
C10850,0,0.166667
C10852,0.333333,0
C10853,0.333333,0
C10854,0.666667,0
C10855,0.727273,0
C10856,0.166667,0.083333
C10857,0.5,0.666667
C10858,0.833333,0
C10859,1,0
C10860,0.111111,0.555556
C10861,0,0.25
C10862,0,0.25
C10863,0,0.166667
C10864,0.166667,0
C10865,0.833333,0.166667
C10866,0.833333,0.25
C10867,0.916667,0
C10868,1,0
C10869,1,0
C10870,0,0.166667
C10871,1,0
C10872,0,0.555556
C10873,1,1
C10874,0.636364,0.272727
C10875,1,0.75
C10876,0,0.666667
C10877,0.166667,0
C10878,1,0
C10879,0,0.333333
C10880,0.5,0
C10881,0.181818,0
C10882,0.5,0.5
C10883,0.083333,0.166667
C10884,0,0.166667
C10885,1,0.5
C10886,0.083333,0.25
C10887,1,0.25
C10888,1,0.083333
C10889,0.083333,0.083333
C10890,1,0
C10891,0.75,0
C10892,1,0
C10893,0.75,0
C10894,0.666667,0.166667
C10895,0.833333,0.083333
C10896,0,0.416667
C10897,0.583333,0.416667
C10898,0.166667,0.333333
C10899,0.333333,0.166667
C10900,0,0.083333
C10901,0.416667,0.25
C10902,1,0
C10903,0,0.5
C10904,0,0.166667
C10905,1,0
C10906,0.166667,0.166667
C10907,1,0
C10908,0.25,0.166667
C10909,0.083333,0.666667
C10910,0,0.333333
C10911,0.2,0.6
C10912,1,0
C10913,0.25,0.5
C10914,0,0.833333
C10915,0.416667,0
C10916,0.5,0.166667
C10917,1,0
C10918,1,0
C10919,1,0.083333
C10920,1,0
C10921,1,0
C10922,1,0
C10923,0,0.083333
C10924,0.416667,0.5
C10925,1,0
C10926,1,0
C10927,0.75,0
C10928,0.333333,0
C10929,0.083333,0.166667
C10930,1,0
C10931,0,0.083333
C10932,0.25,0.166667
C10933,1,0.666667
C10934,0,0.25
C10935,0,0.166667
C10936,1,0
C10937,0.5,0.083333
C10939,0.333333,0
C10940,0.25,0
C10941,0.416667,0.666667
C10942,0,0.333333
C10943,0.5,0
C10944,1,0
C10945,0.916667,0
C10946,0.833333,0
C10947,0.083333,0
C10949,1,0
C10950,1,0
C10951,0.333333,0
C10952,1,0.083333
C10953,0.333333,0
C10954,1,0
C10955,0,0.416667
C10956,0.916667,0
C10957,0,0.5
C10958,0.75,0
C10959,0.916667,0
C10960,0.5,0
C10961,0,0.5
C10962,0.083333,0
C10963,0,0.166667
C10965,0.916667,0.333333
C10966,0.75,0.416667
C10967,0,0.083333
C10968,1,0
C10969,0.25,0
C10970,0.833333,0
C10971,0,0.1
C10972,0.833333,0
C10973,0.583333,0.583333
C10974,0.166667,0
C10975,1,0
C10976,0,0.583333
C10977,0.5,0.4
C10978,0.916667,0
C10979,0.083333,0.25
C10980,0.5,0
C10981,0.083333,0
C10982,0.083333,0
C10983,1,0
C10984,1,0
C10985,0.9,0
C10986,1,0
C10987,0.25,0
C10988,0.666667,0.25
C10989,0.25,0
C10990,0,0.166667
C10991,0.333333,0
C10992,0.083333,0
C10993,0,0.25
C10994,0.7,0.2
C10995,0.333333,0.416667
C10996,0,0.454545
C10997,1,0
C10998,0.909091,0
C10999,0.666667,0
C11000,1,0.166667
C11001,1,0
C11002,0.416667,0.083333
C11003,0.166667,0.166667
C11004,0.9,0
C11005,1,0
C11006,0.083333,0.25
C11007,1,0.666667
C11008,0.166667,0
C11009,1,0
C11010,1,0
C11011,1,0.333333
C11012,0.166667,0.166667
C11013,0.583333,0
C11014,0.333333,0
C11015,1,0
C11016,0.916667,0
C11017,0.083333,0.25
C11018,0.272727,0.636364
C11019,1,0.083333
C11020,0.25,0
C11021,0.083333,0.083333
C11022,1,0
C11023,0,0.416667
C11024,0.916667,0
C11025,1,0.083333
C11026,0,0.083333
C11027,0.666667,0
C11028,1,0.333333
C11029,0.272727,0
C11030,1,0
C11031,0,0.166667
C11032,1,0.333333
C11033,1,0
